pais1;Source;pais2;Target;valor_exportacion;;
YEM;Yemen;MYS;Malaysia;14674788.0;;
TWN;Taiwan, Province of China;MYS;Malaysia;13613.0;;
AGO;Angola;NLD;Netherlands;32211778.0;;
ARE;United Arab Emirates;NLD;Netherlands;28862090.0;;
ARG;Argentina;NLD;Netherlands;8006012.0;;
BEL;Belgium;NLD;Netherlands;197216640.0;;
CMR;Cameroon;NLD;Netherlands;4718865.0;;
DEU;Germany;NLD;Netherlands;16067430.0;;
DNK;Denmark;NLD;Netherlands;570312960.0;;
DZA;Algeria;NLD;Netherlands;1113237504.0;;
EST;Estonia;NLD;Netherlands;16547300.0;;
FRA;France;NLD;Netherlands;53206.0;;
GAB;Gabon;NLD;Netherlands;4565034.0;;
IRN;Iran, Islamic Republic of;NLD;Netherlands;613486848.0;;
IRQ;Iraq;NLD;Netherlands;543764160.0;;
KAZ;Kazakstan;NLD;Netherlands;21198616.0;;
KWT;Kuwait;NLD;Netherlands;982696512.0;;
LBY;Libyan Arab Jamahiriya;NLD;Netherlands;9329317.0;;
MEX;Mexico;NLD;Netherlands;6042636.0;;
MYS;Malaysia;NLD;Netherlands;8336154.0;;
NGA;Nigeria;NLD;Netherlands;93488184.0;;
RUS;Russia Federation;NLD;Netherlands;771089920.0;;
SAU;Saudi Arabia;NLD;Netherlands;1986875264.0;;
THA;Thailand;NLD;Netherlands;4857752.0;;
TUN;Tunisia;NLD;Netherlands;24901792.0;;
TUR;Turkey;NLD;Netherlands;4425582.0;;
USA;United States;NLD;Netherlands;4593.0;;
VEN;Venezuela;NLD;Netherlands;60041512.0;;
ANS;#N/D;NLD;Netherlands;2362862.0;;
DNK;Denmark;NOR;Norway;14561161.0;;
DZA;Algeria;NOR;Norway;4366874.0;;
GBR;United Kingdom;NOR;Norway;56009988.0;;
RUS;Russia Federation;NOR;Norway;56733628.0;;
SDN;Sudan;NOR;Norway;13167.0;;
ANT;Netherlands Antilles;PAN;Panama;19553486.0;;
COL;Colombia;PAN;Panama;9410108.0;;
DZA;Algeria;PAN;Panama;15395606.0;;
ECU;Ecuador;PAN;Panama;186952064.0;;
KAZ;Kazakstan;PAN;Panama;11577103.0;;
MEX;Mexico;PAN;Panama;17241894.0;;
VEN;Venezuela;PAN;Panama;170794944.0;;
ARG;Argentina;PER;Peru;11945906.0;;
COL;Colombia;PER;Peru;104646976.0;;
ECU;Ecuador;PER;Peru;243868272.0;;
NGA;Nigeria;PER;Peru;54171116.0;;
